ticker,company,country,theme
AIR.PA,Airbus,France,Aerospace
SAF.PA,Safran,France,Aerospace
SU.PA,Schneider Electric,France,Electrification and automation
SIE.DE,Siemens,Germany,Industrial automation
ENR.DE,Siemens Energy,Germany,Energy infrastructure
ABBN.SW,ABB,Switzerland,Electrification and automation
ALO.PA,Alstom,France,Rail infrastructure
MT.AS,ArcelorMittal,Luxembourg,Materials
RNO.PA,Renault,France,Mobility
VOW3.DE,Volkswagen,Germany,Mobility
PRY.MI,Prysmian,Italy,Grid infrastructure
SAND.ST,Sandvik,Sweden,Industrial technology
