,AIR.PA,SAF.PA,SU.PA,SIE.DE,ENR.DE,ABBN.SW,ALO.PA,MT.AS,RNO.PA,VOW3.DE,PRY.MI,SAND.ST
2024-09-23,127.6585,206.7194,230.5373,160.2634,33.0889,46.4805,17.6550,20.6848,34.5405,81.5811,64.2277,204.9595
2024-09-24,129.5599,209.7507,232.1332,162.9807,32.9395,46.9638,17.8050,21.6689,34.9482,82.9003,62.8434,208.0200
2024-09-25,128.1963,208.4795,233.2455,165.0857,33.5270,48.0656,18.1700,21.4277,34.5050,81.8977,64.1692,208.5939
2024-09-26,129.0029,211.3153,236.5340,173.8882,33.2084,48.5392,18.6950,22.4407,35.3204,83.5687,64.8712,216.8190
2024-09-27,128.5036,208.6751,232.4717,174.9598,32.7603,47.7177,18.9300,22.6047,36.5968,85.4156,63.2138,218.6362
2024-09-30,126.0069,206.4260,228.4577,173.5055,32.9296,47.3504,18.6350,22.7108,34.5582,83.6918,63.5648,217.0103
2024-10-01,123.6254,205.7415,228.1192,172.0894,33.8058,47.3504,18.4650,22.7012,33.4591,82.0560,63.5258,214.2367
2024-10-02,122.2810,205.1548,229.0381,172.8166,33.8457,47.6983,18.3550,22.7108,32.4930,81.6514,63.8573,214.7149
2024-10-03,121.5320,202.5146,225.5561,171.8215,34.0448,47.3407,18.6300,22.3924,31.8283,80.3674,63.3503,211.4631
2024-10-04,121.8009,203.3947,227.0553,174.9790,35.1999,47.5050,19.4300,22.5275,32.7678,82.6540,62.7849,214.6192
2024-10-07,122.3386,198.9943,228.3610,176.4142,35.1003,47.3890,19.4800,22.4021,32.7944,82.5133,63.7598,213.8541
2024-10-08,121.3207,199.8744,230.6340,172.3956,35.3094,47.7563,19.4050,21.6206,33.7605,81.3348,63.4478,209.2633
2024-10-09,122.3770,199.3854,234.3094,176.4907,35.4687,48.2783,19.7250,21.7846,34.8773,82.1791,64.2472,210.3154
2024-10-10,122.8188,196.8430,231.3110,175.4382,34.5427,47.5244,19.5000,21.8136,34.7975,81.8977,63.0773,208.3069
2024-10-11,127.6393,200.2655,233.6324,177.8111,35.6779,48.1526,19.6250,21.8811,34.8684,81.4755,64.0912,210.7936
2024-10-14,129.7519,204.1770,235.6635,177.2561,35.9666,48.8292,19.3950,21.7267,34.8241,81.0534,64.7347,209.7415
2024-10-15,130.3665,203.7858,232.2782,174.9407,34.5228,47.9206,19.2000,21.2829,34.7266,80.7192,63.8573,205.8202
2024-10-16,130.5585,203.8836,230.8758,173.1802,34.8613,47.5050,20.4400,21.2829,35.4091,80.2442,64.5787,206.3941
2024-10-17,135.6864,209.6530,239.3390,176.3185,36.3251,48.6552,20.4500,21.3312,35.8257,79.7341,66.0021,205.1507
2024-10-18,134.0155,210.3375,237.9849,177.5815,36.3649,47.8820,20.5100,21.6882,35.8788,80.8423,66.2166,208.1156
2024-10-21,133.3241,208.7729,235.3250,177.1031,36.4645,47.4760,20.4100,21.3505,35.9497,80.0684,65.8266,203.8118
2024-10-22,135.6288,205.7415,234.2127,175.5722,36.3251,47.4567,20.3400,21.3794,36.1891,80.3146,64.8517,202.7597
2024-10-23,135.5712,205.8393,232.2299,173.3715,36.0861,46.7705,20.2500,21.1961,35.6927,79.9980,64.4617,201.4207
2024-10-24,135.5135,205.5460,232.8102,171.7067,36.8429,46.7511,20.2300,21.1865,37.3856,81.7042,65.2612,199.4123
2024-10-25,134.8990,206.8172,234.4061,172.6252,38.1872,47.1184,20.5500,21.4470,38.2010,81.1589,66.2946,201.8033
2024-10-28,134.3228,206.7194,237.1143,173.9839,37.7889,47.5147,20.2900,22.1705,38.3783,80.7895,66.8405,205.5333
2024-10-29,134.7645,205.1548,232.9553,173.2376,37.9183,47.1667,20.3000,22.1127,37.9085,78.2038,66.0801,204.9595
2024-10-30,134.1884,204.8615,234.3578,171.7259,37.7092,46.9444,20.1000,21.8715,37.2527,79.0481,63.7208,203.6205
2024-10-31,134.5917,203.1991,229.4250,170.6925,37.3706,46.2969,20.0600,21.8811,37.1374,78.2214,63.1943,199.8905
